이름,rating,url
칼리신정50단위(칼리디노게나제) [Kalisin Tab. 50 unit. (kalidinogenase)],0,https://terms.naver.com/entry.naver?docId=2132071&cid=51000&categoryId=51000
칼리드정50단위(칼리디노게나제) [Kallid Tab. 50Unit],1,https://terms.naver.com/entry.naver?docId=3329561&cid=51000&categoryId=51000
카리노젠정50단위(칼리디노게나제) [Kallinogen Tab. 50Unit],0,https://terms.naver.com/entry.naver?docId=3403909&cid=51000&categoryId=51000
칼크레인정50단위(칼리디노게나제) [Kalkrein Tab 50 Unit(Kallidinogenase)],2,https://terms.naver.com/entry.naver?docId=3408140&cid=51000&categoryId=51000
뉴본정50단위(칼리디노게나제) [Newborn Tab. 50unit],27,https://terms.naver.com/entry.naver?docId=2135978&cid=51000&categoryId=51000
크레인정50단위(칼리디노게나제) [Krein Tab.],29,https://terms.naver.com/entry.naver?docId=2141433&cid=51000&categoryId=51000
칼리돈정50단위(칼리디노게나제) [Kallidon Tab. 50I.U],1,https://terms.naver.com/entry.naver?docId=2849974&cid=51000&categoryId=51000
칼리제정50단위(칼리디노게나제) [Kallige Tab. 50I.U],1,https://terms.naver.com/entry.naver?docId=2169698&cid=51000&categoryId=51000
칼리닌정50단위(칼리디노게나제) [Kallinin Tab. 50IU],0,https://terms.naver.com/entry.naver?docId=2129905&cid=51000&categoryId=51000
카레인정50단위(칼리디노게나제) [Kalein Tab. 50IU],14,https://terms.naver.com/entry.naver?docId=2164462&cid=51000&categoryId=51000
튜비스투정150/300mg [TUBES2 Tablet 150/300mg],10,https://terms.naver.com/entry.naver?docId=2164640&cid=51000&categoryId=51000
졸레어프리필드시린지주150(오말리주맙) [Xolair PFS 150],1,https://terms.naver.com/entry.naver?docId=3403779&cid=51000&categoryId=51000
"아프로바스크정300/5mg(이르베사르탄,암로디핀베실산염... [Aprovasc Tab. 300/5mg (Irbesartan, Amlodipine besylate)]",0,https://terms.naver.com/entry.naver?docId=6713731&cid=51000&categoryId=51000
"아프로바스크정150/10mg(이르베사르탄,암로디핀베실산... [Aprovasc Tab. 150/10mg (Irbesartan, Amlodipine besylate)]",0,https://terms.naver.com/entry.naver?docId=6713728&cid=51000&categoryId=51000
"아프로바스크정150/5mg(이르베사르탄,암로디핀베실산염... [Aprovasc Tab. 150/5mg (Irbesartan, Amlodipine besylate)]",0,https://terms.naver.com/entry.naver?docId=6713729&cid=51000&categoryId=51000
튜비스정 [TUBES Tablet],8,https://terms.naver.com/entry.naver?docId=2128598&cid=51000&categoryId=51000
라두배딘정(라니티딘염산염) [Radubadine Tab.(Ranitidine Hydrochloride)],0,https://terms.naver.com/entry.naver?docId=3546172&cid=51000&categoryId=51000
잔티니정150mg(라니티딘염산염),0,https://terms.naver.com/entry.naver?docId=5758173&cid=51000&categoryId=51000
프레라캡슐150mg(프레가발린) [Prela Cap. 150mg],0,https://terms.naver.com/entry.naver?docId=3614523&cid=51000&categoryId=51000
라니돈정150mg(라니티딘염산염) [Ranidone Tablet 150mg(Ranitidine Hydrochloride)],0,https://terms.naver.com/entry.naver?docId=5753318&cid=51000&categoryId=51000
라벤티드정20mg(라베프라졸나트륨) [Rabentid Tab. 20mg],0,https://terms.naver.com/entry.naver?docId=2809442&cid=51000&categoryId=51000
